{'ID': '1295A', 'difficulty': 900, 'tag': '0'}
{'ID': '1256B', 'difficulty': 1400, 'tag': '0'}
{'ID': '1256D', 'difficulty': 1500, 'tag': '0'}
{'ID': '1251C', 'difficulty': 1500, 'tag': '0'}
{'ID': '1251B', 'difficulty': 1400, 'tag': '0'}
{'ID': '1221B', 'difficulty': 1100, 'tag': '0'}
{'ID': '1215C', 'difficulty': 1500, 'tag': '0'}
{'ID': '1178A', 'difficulty': 1100, 'tag': '0'}
{'ID': '1313B', 'difficulty': 1700, 'tag': '1'}
{'ID': '1304D', 'difficulty': 1800, 'tag': '1'}
{'ID': '1301C', 'difficulty': 1700, 'tag': '1'}
{'ID': '1301B', 'difficulty': 1500, 'tag': '1'}
{'ID': '1296E1', 'difficulty': 1800, 'tag': '1'}
{'ID': '1290B', 'difficulty': 1900, 'tag': '1'}
{'ID': '1285E', 'difficulty': 2300, 'tag': '1'}
{'ID': '1285E', 'difficulty': 2300, 'tag': '1'}
{'ID': '1285D', 'difficulty': 1800, 'tag': '1'}
{'ID': '1285D', 'difficulty': 1800, 'tag': '1'}
{'ID': '1285D', 'difficulty': 1800, 'tag': '1'}
{'ID': '1243B2', 'difficulty': 1600, 'tag': '1'}
{'ID': '1243B1', 'difficulty': 1100, 'tag': '1'}
{'ID': '1216A', 'difficulty': 900, 'tag': '1'}
{'ID': '1204D2', 'difficulty': 2100, 'tag': '1'}
{'ID': '1253A', 'difficulty': 1000, 'tag': '2'}
{'ID': '1234B1', 'difficulty': 1000, 'tag': '2'}
{'ID': '1199A', 'difficulty': 1000, 'tag': '2'}
{'ID': '1304E', 'difficulty': 2000, 'tag': '3'}
{'ID': '1213G', 'difficulty': 2000, 'tag': '3'}
{'ID': '1213G', 'difficulty': 2000, 'tag': '3'}
{'ID': '1253D', 'difficulty': 1700, 'tag': '3'}
{'ID': '1295C', 'difficulty': 1600, 'tag': '4'}
{'ID': '1295C', 'difficulty': 1600, 'tag': '4'}
{'ID': '1288D', 'difficulty': 2000, 'tag': '4'}
{'ID': '1288C', 'difficulty': 1600, 'tag': '4'}
{'ID': '1245C', 'difficulty': 1400, 'tag': '4'}
{'ID': '1234C', 'difficulty': 1400, 'tag': '4'}
{'ID': '1221D', 'difficulty': 1700, 'tag': '4'}
{'ID': '1215E', 'difficulty': 2200, 'tag': '4'}
{'ID': '1215E', 'difficulty': 2200, 'tag': '4'}
{'ID': '1207C', 'difficulty': 1500, 'tag': '4'}
{'ID': '1206B', 'difficulty': 900, 'tag': '4'}
{'ID': '55D', 'difficulty': 2400, 'tag': '4'}
{'ID': '55D', 'difficulty': 2400, 'tag': '4'}
{'ID': '1067A', 'difficulty': 2000, 'tag': '4'}
{'ID': '1067A', 'difficulty': 2000, 'tag': '4'}
{'ID': '1067A', 'difficulty': 2000, 'tag': '4'}
{'ID': '1178B', 'difficulty': 1300, 'tag': '4'}
{'ID': '1195C', 'difficulty': 1400, 'tag': '4'}
{'ID': '1311C', 'difficulty': 1300, 'tag': '5'}
{'ID': '1313C2', 'difficulty': 1900, 'tag': '5'}
{'ID': '1296E2', 'difficulty': 2100, 'tag': '5'}
{'ID': '1296C', 'difficulty': 1500, 'tag': '5'}
{'ID': '840D', 'difficulty': 2400, 'tag': '5'}
{'ID': '1288E', 'difficulty': 2100, 'tag': '5'}
{'ID': '1288E', 'difficulty': 2100, 'tag': '5'}
{'ID': '1234D', 'difficulty': 1600, 'tag': '5'}
{'ID': '1234B2', 'difficulty': 1200, 'tag': '5'}
{'ID': '1311D', 'difficulty': 1900, 'tag': '6'}
