{'ID': '1303D', 'difficulty': 1800, 'tag': '0'}
{'ID': '1315C', 'difficulty': 1200, 'tag': '0'}
{'ID': '1295A', 'difficulty': 900, 'tag': '0'}
{'ID': '1256D', 'difficulty': 1500, 'tag': '0'}
{'ID': '803D', 'difficulty': 1900, 'tag': '0'}
{'ID': '803D', 'difficulty': 1900, 'tag': '0'}
{'ID': '1202A', 'difficulty': 1100, 'tag': '0'}
{'ID': '1165C', 'difficulty': 1300, 'tag': '0'}
{'ID': '985C', 'difficulty': 1500, 'tag': '0'}
{'ID': '1166A', 'difficulty': 900, 'tag': '0'}
{'ID': '1167D', 'difficulty': 1500, 'tag': '0'}
{'ID': '1157C2', 'difficulty': 1700, 'tag': '0'}
{'ID': '1157C1', 'difficulty': 1300, 'tag': '0'}
{'ID': '1157B', 'difficulty': 1300, 'tag': '0'}
{'ID': '1113B', 'difficulty': 1300, 'tag': '0'}
{'ID': '1113B', 'difficulty': 1300, 'tag': '0'}
{'ID': '720A', 'difficulty': 2000, 'tag': '0'}
{'ID': '1107A', 'difficulty': 1000, 'tag': '0'}
{'ID': '1102D', 'difficulty': 1600, 'tag': '0'}
{'ID': '1015D', 'difficulty': 1600, 'tag': '0'}
{'ID': '1095C', 'difficulty': 1400, 'tag': '0'}
{'ID': '835B', 'difficulty': 1100, 'tag': '0'}
{'ID': '1093C', 'difficulty': 1200, 'tag': '0'}
{'ID': '1077B', 'difficulty': 1000, 'tag': '0'}
{'ID': '1076A', 'difficulty': 1200, 'tag': '0'}
{'ID': '1066B', 'difficulty': 1500, 'tag': '0'}
{'ID': '1065C', 'difficulty': 1500, 'tag': '0'}
{'ID': '1060B', 'difficulty': 1100, 'tag': '0'}
{'ID': '1036D', 'difficulty': 1600, 'tag': '0'}
{'ID': '1040A', 'difficulty': 1000, 'tag': '0'}
{'ID': '1037B', 'difficulty': 1300, 'tag': '0'}
{'ID': '1017C', 'difficulty': 1600, 'tag': '0'}
{'ID': '1027C', 'difficulty': 1600, 'tag': '0'}
{'ID': '1027C', 'difficulty': 1600, 'tag': '0'}
{'ID': '1023C', 'difficulty': 1200, 'tag': '0'}
{'ID': '137B', 'difficulty': 1100, 'tag': '0'}
{'ID': '1013B', 'difficulty': 1200, 'tag': '0'}
{'ID': '297B', 'difficulty': 1700, 'tag': '0'}
{'ID': '1003D', 'difficulty': 1600, 'tag': '0'}
{'ID': '462B', 'difficulty': 1300, 'tag': '0'}
{'ID': '478C', 'difficulty': 1700, 'tag': '0'}
{'ID': '760B', 'difficulty': 1500, 'tag': '0'}
{'ID': '978B', 'difficulty': 700, 'tag': '0'}
{'ID': '946A', 'difficulty': 800, 'tag': '0'}
{'ID': '337A', 'difficulty': 1000, 'tag': '0'}
{'ID': '337A', 'difficulty': 1000, 'tag': '0'}
{'ID': '58A', 'difficulty': 1100, 'tag': '0'}
{'ID': '58A', 'difficulty': 1100, 'tag': '0'}
{'ID': '1315B', 'difficulty': 1300, 'tag': '1'}
{'ID': '1315B', 'difficulty': 1300, 'tag': '1'}
{'ID': '1296E1', 'difficulty': 1800, 'tag': '1'}
{'ID': '1284B', 'difficulty': 1500, 'tag': '1'}
{'ID': '1216A', 'difficulty': 900, 'tag': '1'}
{'ID': '803A', 'difficulty': 1500, 'tag': '1'}
{'ID': '803B', 'difficulty': 1200, 'tag': '1'}
{'ID': '1202C', 'difficulty': 2100, 'tag': '1'}
{'ID': '126B', 'difficulty': 1800, 'tag': '1'}
{'ID': '126B', 'difficulty': 1800, 'tag': '1'}
{'ID': '1204D2', 'difficulty': 2100, 'tag': '1'}
{'ID': '1207D', 'difficulty': 1800, 'tag': '1'}
{'ID': '1207D', 'difficulty': 1800, 'tag': '1'}
{'ID': '1202D', 'difficulty': 1900, 'tag': '1'}
{'ID': '552C', 'difficulty': 1800, 'tag': '1'}
{'ID': '547B', 'difficulty': 2100, 'tag': '1'}
{'ID': '1157F', 'difficulty': 2300, 'tag': '1'}
{'ID': '1189A', 'difficulty': 800, 'tag': '1'}
{'ID': '609D', 'difficulty': 2000, 'tag': '1'}
{'ID': '1152B', 'difficulty': 1300, 'tag': '1'}
{'ID': '577B', 'difficulty': 1800, 'tag': '1'}
{'ID': '577B', 'difficulty': 1800, 'tag': '1'}
{'ID': '577B', 'difficulty': 1800, 'tag': '1'}
{'ID': '600C', 'difficulty': 1800, 'tag': '1'}
{'ID': '1108D', 'difficulty': 1400, 'tag': '1'}
{'ID': '1102C', 'difficulty': 1200, 'tag': '1'}
{'ID': '1099B', 'difficulty': 1100, 'tag': '1'}
{'ID': '432D', 'difficulty': 2000, 'tag': '1'}
{'ID': '432D', 'difficulty': 2000, 'tag': '1'}
{'ID': '1092C', 'difficulty': 1700, 'tag': '1'}
{'ID': '1092C', 'difficulty': 1700, 'tag': '1'}
{'ID': '1092C', 'difficulty': 1700, 'tag': '1'}
{'ID': '1092C', 'difficulty': 1700, 'tag': '1'}
