{'ID': '1315C', 'difficulty': 1200, 'tag': '0'}
{'ID': '1295A', 'difficulty': 900, 'tag': '0'}
{'ID': '1281B', 'difficulty': 1500, 'tag': '0'}
{'ID': '1277B', 'difficulty': 1200, 'tag': '0'}
{'ID': '1265A', 'difficulty': 1000, 'tag': '0'}
{'ID': '1256C', 'difficulty': 1700, 'tag': '0'}
{'ID': '1256D', 'difficulty': 1500, 'tag': '0'}
{'ID': '1256B', 'difficulty': 1400, 'tag': '0'}
{'ID': '1251C', 'difficulty': 1500, 'tag': '0'}
{'ID': '1251B', 'difficulty': 1400, 'tag': '0'}
{'ID': '1249D1', 'difficulty': 1900, 'tag': '0'}
{'ID': '1221B', 'difficulty': 1100, 'tag': '0'}
{'ID': '1215C', 'difficulty': 1500, 'tag': '0'}
{'ID': '1027C', 'difficulty': 1600, 'tag': '0'}
{'ID': '207A2', 'difficulty': 1800, 'tag': '0'}
{'ID': '207A1', 'difficulty': 1600, 'tag': '0'}
{'ID': '739A', 'difficulty': 1600, 'tag': '0'}
{'ID': '1015D', 'difficulty': 1600, 'tag': '0'}
{'ID': '1153C', 'difficulty': 1600, 'tag': '0'}
{'ID': '1003D', 'difficulty': 1600, 'tag': '0'}
{'ID': '1178A', 'difficulty': 1100, 'tag': '0'}
{'ID': '1166A', 'difficulty': 900, 'tag': '0'}
{'ID': '1173B', 'difficulty': 1100, 'tag': '0'}
{'ID': '1173A', 'difficulty': 700, 'tag': '0'}
{'ID': '1148A', 'difficulty': 700, 'tag': '0'}
{'ID': '1167D', 'difficulty': 1500, 'tag': '0'}
{'ID': '1165C', 'difficulty': 1300, 'tag': '0'}
{'ID': '1154D', 'difficulty': 1400, 'tag': '0'}
{'ID': '1144D', 'difficulty': 1400, 'tag': '0'}
{'ID': '1113B', 'difficulty': 1300, 'tag': '0'}
{'ID': '1107A', 'difficulty': 1000, 'tag': '0'}
{'ID': '1095C', 'difficulty': 1400, 'tag': '0'}
{'ID': '1077B', 'difficulty': 1000, 'tag': '0'}
{'ID': '1077B', 'difficulty': 1000, 'tag': '0'}
{'ID': '3A', 'difficulty': 1200, 'tag': '0'}
{'ID': '1076A', 'difficulty': 1200, 'tag': '0'}
{'ID': '1070D', 'difficulty': 1400, 'tag': '0'}
{'ID': '1040A', 'difficulty': 1000, 'tag': '0'}
{'ID': '1023C', 'difficulty': 1200, 'tag': '0'}
{'ID': '769B', 'difficulty': 1600, 'tag': '0'}
{'ID': '1017C', 'difficulty': 1600, 'tag': '0'}
{'ID': '978B', 'difficulty': 700, 'tag': '0'}
{'ID': '1256F', 'difficulty': 2200, 'tag': '1'}
{'ID': '1245B', 'difficulty': 1200, 'tag': '1'}
{'ID': '1249C2', 'difficulty': 1500, 'tag': '1'}
{'ID': '1216A', 'difficulty': 900, 'tag': '1'}
{'ID': '1220C', 'difficulty': 1300, 'tag': '1'}
{'ID': '862C', 'difficulty': 1800, 'tag': '1'}
{'ID': '1208C', 'difficulty': 1800, 'tag': '1'}
{'ID': '681C', 'difficulty': 1600, 'tag': '1'}
{'ID': '518A', 'difficulty': 1600, 'tag': '1'}
{'ID': '924B', 'difficulty': 1600, 'tag': '1'}
{'ID': '848A', 'difficulty': 1600, 'tag': '1'}
{'ID': '600C', 'difficulty': 1800, 'tag': '1'}
{'ID': '498A', 'difficulty': 1600, 'tag': '1'}
{'ID': '1089L', 'difficulty': 1200, 'tag': '1'}
{'ID': '1003B', 'difficulty': 1300, 'tag': '1'}
{'ID': '1178E', 'difficulty': 1900, 'tag': '1'}
{'ID': '1178D', 'difficulty': 1600, 'tag': '1'}
{'ID': '235A', 'difficulty': 1600, 'tag': '1'}
{'ID': '1189A', 'difficulty': 800, 'tag': '1'}
{'ID': '928A', 'difficulty': 1600, 'tag': '1'}
{'ID': '1108D', 'difficulty': 1400, 'tag': '1'}
{'ID': '1102C', 'difficulty': 1200, 'tag': '1'}
{'ID': '1099B', 'difficulty': 1100, 'tag': '1'}
{'ID': '784A', 'difficulty': 1700, 'tag': '1'}
{'ID': '952D', 'difficulty': 2000, 'tag': '1'}
{'ID': '1315A', 'difficulty': 700, 'tag': '2'}
{'ID': '1234B1', 'difficulty': 1000, 'tag': '2'}
{'ID': '1281A', 'difficulty': 600, 'tag': '2'}
{'ID': '1277A', 'difficulty': 1000, 'tag': '2'}
{'ID': '1253A', 'difficulty': 1000, 'tag': '2'}
{'ID': '1225B1', 'difficulty': 1000, 'tag': '2'}
{'ID': '1250A', 'difficulty': 1400, 'tag': '2'}
{'ID': '678B', 'difficulty': 1600, 'tag': '2'}
{'ID': '524A', 'difficulty': 1600, 'tag': '2'}
{'ID': '1203A', 'difficulty': 1100, 'tag': '2'}
{'ID': '400A', 'difficulty': 1000, 'tag': '2'}
{'ID': '1005A', 'difficulty': 700, 'tag': '2'}
{'ID': '1003A', 'difficulty': 700, 'tag': '2'}
{'ID': '1199A', 'difficulty': 1000, 'tag': '2'}
{'ID': '999C', 'difficulty': 1200, 'tag': '2'}
{'ID': '999B', 'difficulty': 900, 'tag': '2'}
{'ID': '977A', 'difficulty': 500, 'tag': '2'}
{'ID': '1196D1', 'difficulty': 1500, 'tag': '2'}
{'ID': '1196C', 'difficulty': 1500, 'tag': '2'}
{'ID': '1194B', 'difficulty': 1300, 'tag': '2'}
{'ID': '1184C1', 'difficulty': 1700, 'tag': '2'}
{'ID': '1184D1', 'difficulty': 1600, 'tag': '2'}
{'ID': '1186A', 'difficulty': 600, 'tag': '2'}
{'ID': '1183A', 'difficulty': 900, 'tag': '2'}
{'ID': '1162A', 'difficulty': 800, 'tag': '2'}
{'ID': '1143A', 'difficulty': 700, 'tag': '2'}
{'ID': '1140A', 'difficulty': 1000, 'tag': '2'}
{'ID': '1136A', 'difficulty': 700, 'tag': '2'}
{'ID': '1130A', 'difficulty': 900, 'tag': '2'}
{'ID': '1118B', 'difficulty': 1300, 'tag': '2'}
{'ID': '1106A', 'difficulty': 800, 'tag': '2'}
{'ID': '1108A', 'difficulty': 800, 'tag': '2'}
{'ID': '1100A', 'difficulty': 1000, 'tag': '2'}
{'ID': '1101E', 'difficulty': 1500, 'tag': '2'}
{'ID': '1101E', 'difficulty': 1500, 'tag': '2'}
{'ID': '1099A', 'difficulty': 900, 'tag': '2'}
{'ID': '1095B', 'difficulty': 1000, 'tag': '2'}
{'ID': '1095A', 'difficulty': 700, 'tag': '2'}
{'ID': '784F', 'difficulty': 2200, 'tag': '2'}
{'ID': '784C', 'difficulty': 2300, 'tag': '2'}
{'ID': '1092A', 'difficulty': 800, 'tag': '2'}
{'ID': '31A', 'difficulty': 1200, 'tag': '2'}
{'ID': '36B', 'difficulty': 1600, 'tag': '2'}
{'ID': '1070K', 'difficulty': 1200, 'tag': '2'}
{'ID': '1054B', 'difficulty': 1100, 'tag': '2'}
{'ID': '1054B', 'difficulty': 1100, 'tag': '2'}
{'ID': '1054A', 'difficulty': 800, 'tag': '2'}
{'ID': '1003A', 'difficulty': 700, 'tag': '2'}
{'ID': '1028A', 'difficulty': 800, 'tag': '2'}
{'ID': '1005A', 'difficulty': 700, 'tag': '2'}
{'ID': '1006A', 'difficulty': 700, 'tag': '2'}
{'ID': '1017A', 'difficulty': 700, 'tag': '2'}
{'ID': '1015B', 'difficulty': 1300, 'tag': '2'}
{'ID': '1015A', 'difficulty': 700, 'tag': '2'}
{'ID': '999B', 'difficulty': 900, 'tag': '2'}
{'ID': '978A', 'difficulty': 800, 'tag': '2'}
{'ID': '977A', 'difficulty': 500, 'tag': '2'}
{'ID': '1294F', 'difficulty': 2100, 'tag': '3'}
{'ID': '1245D', 'difficulty': 1900, 'tag': '3'}
{'ID': '1209D', 'difficulty': 1700, 'tag': '3'}
{'ID': '1213G', 'difficulty': 2000, 'tag': '3'}
{'ID': '954D', 'difficulty': 1600, 'tag': '3'}
{'ID': '916C', 'difficulty': 1600, 'tag': '3'}
{'ID': '643B', 'difficulty': 1600, 'tag': '3'}
{'ID': '616C', 'difficulty': 1600, 'tag': '3'}
{'ID': '1143C', 'difficulty': 1400, 'tag': '3'}
{'ID': '1003E', 'difficulty': 2200, 'tag': '3'}
{'ID': '977E', 'difficulty': 1500, 'tag': '3'}
{'ID': '1184E1', 'difficulty': 2000, 'tag': '3'}
{'ID': '1184E1', 'difficulty': 2000, 'tag': '3'}
{'ID': '370A', 'difficulty': 1200, 'tag': '3'}
{'ID': '1176E', 'difficulty': 1700, 'tag': '3'}
{'ID': '939A', 'difficulty': 800, 'tag': '3'}
{'ID': '1167C', 'difficulty': 1400, 'tag': '3'}
{'ID': '1167C', 'difficulty': 1400, 'tag': '3'}
{'ID': '1167C', 'difficulty': 1400, 'tag': '3'}
{'ID': '755C', 'difficulty': 1300, 'tag': '3'}
{'ID': '893C', 'difficulty': 1300, 'tag': '3'}
{'ID': '1065B', 'difficulty': 1300, 'tag': '3'}
{'ID': '330B', 'difficulty': 1300, 'tag': '3'}
{'ID': '707B', 'difficulty': 1300, 'tag': '3'}
{'ID': '115A', 'difficulty': 1300, 'tag': '3'}
{'ID': '115A', 'difficulty': 1300, 'tag': '3'}
